Type,ID,Name,Event
"EAN13","4710126088597","365290 （雙）義美青醬蛤蜊義大利麵",""
"EAN13","4710126604216","671465 義美鮭魚炒飯",""
"EAN13","4710126604223","671311 義美蝦仁炒飯",""
"EAN13","4710126610118","639067 （選）義美紅藜蔬食炒飯",""
"EAN13","4710139940394","343511 巴特里爆漿奶油餐包2入",""
"EAN13","4710139940400","343512 巴特里港式流心菠蘿包",""
"EAN13","4710143021188","365757 Niseko 北海道牛奶巧酥雪糕",""
"EAN13","4710143930527","576109 百吉棒棒冰-蘇打",""
"EAN13","4710143950433","384313 百吉棒棒冰-乳酸",""
"EAN13","4710144915950","538061 浪味仙-田園蔬菜口味",""
"EAN13","4710154014643","526862 黑松茶尋味臺灣春茶PET590",""
"EAN13","4710168709818","634911 DARLIE好來全亮白清新薄荷牙膏",""
"EAN13","4710174120607","336115 Energy Time機能凍飲_活力充沛",""
"EAN13","4710174120614","335444 Energy Time機能凍飲_晶亮有神",""
"EAN13","4710174120621","336127 Energy Time 益生菌（乳酸）",""
"EAN13","4710174122069","540739 盛香珍零卡蒟蒻VitC＋鐵（荔枝）",""
"EAN13","4710174122083","540730 盛香珍零卡蒟蒻VitC＋鐵（葡萄）",""
"EAN13","4710209729164","303681 PowerBOMB爆能能量飲料Can225",""
"EAN13","4710209996016","717049 葡萄王靈芝王精華飲60ml",""
"EAN13","4710209996658","540815 葡萄王人蔘王養身飲60ml",""
"EAN13","4710209997112","354500 康貝特200P EX能量飲料CAN225",""
"EAN13","4710250210017","967827 杜老爺曠世奇派草莓大雪糕",""
"EAN13","4710250210079","432411 曠世奇派玫瑰鹽焦糖",""
"EAN13","4710250210215","803801 杜老爺玉井情人果大脆冰棒",""
"EAN13","4710250480311","034883 杜老爺雙倍巧克力甜筒",""
"EAN13","4710250480434","500620 杜老爺超級曠世奇派酒釀黑櫻桃","20260814_五六日_003"
"EAN13","4710314430009","537987 雷達噴霧殺蚊蟲劑—柑橘精油 500ml",""
"EAN13","4710339007378","448089 福樂Q果蜂蜜柚香優酪135G",""
"EAN13","4710345543006","853971 注喵-點心罐 80g-雞絲",""
"EAN13","4710345543037","853241 汪哺-點心罐80g-鮪魚＋綠貽貝",""
"EAN13","4710363082624","566321 花王洗髮精清新沁涼 750ml",""
"EAN13","4710363523714","440492 一匙靈制菌洗衣粉盒裝1.9KG",""
"EAN13","4710367313366","910152 3M細滑牙線棒盒裝150支入",""
"EAN13","4710421075834","526578 舒跑Energy能量飲料CAN250",""
"EAN13","4710543113018","411715 樂事九州岩燒海苔口味洋芋片",""
"EAN13","4710543113049","411706 樂事美國經典原味洋芋片",""
"EAN13","4710543113100","411719 樂事瑞士香濃起司口味洋芋片",""
"EAN13","4710587184968","321750 紅牌速纖纖維飲料TP330",""
"EAN13","4710632007631","363366 悅氏Light鹼性水PET720",""
"EAN13","4710699501011","396791 手摘果物小紅莓",""
"EAN13","4710699501028","396852 手摘果物無籽梅肉",""
"EAN13","4710699501035","396815 手摘果物甘草芭樂乾",""
"EAN13","4710699501066","769022 手摘果物芒果青",""
"EAN13","4710699501073","965300 手摘果物日式梅片",""
"EAN13","4710716336381","375013 Airwaves酷涼FUN塊-冰爽薄荷",""
"EAN13","4710716336466","374995 Airwaves酷涼FUN塊-冰爽檸檬",""
"EAN13","4710716337128","820329 EXTRA潔淨無糖口香糖薄荷",""
"EAN13","4710716337227","726742 Extra無糖口香糖香濃密瓜",""
"EAN13","4710716337913","417011 Extra潔淨無糖口番糖清檸薄荷",""
"EAN13","4710777115345","395873 白蘭氏葉黃素精華飲",""
"EAN13","4710777401011","169198 白蘭氏學進雞精70g",""
"EAN13","4710777776669","309467 白蘭氏養蔘飲",""
"EAN13","4710777779905","996395 白蘭氏赤靈芝子實體精華飲60ml",""
"EAN13","4710777888997","328762 白蘭氏旭沛人蔘蜆精60ml",""
"EAN13","4710777953794","769528 白蘭氏葉黃素凍",""
"EAN13","4710782176522","396266 西雅圖極品大濾掛咖啡（極品）",""
